View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,Beginning Page
 Trinity/Clair Engle,,,,,,,,,,,,,,,,,,,,,,,,,,Model Input
Inflow,,110,105,38,7,1,1,14,32,58,85,130,150,,,,,,,,,,,,,Summay
Est. Evap.,,5.1,6.7,7.7,9.8,8.7,6.8,3.2,1.5,1.0,1.7,1.5,2.3,,,,,,,,,,,,,Jan
Total Release,,70.7,116.0,117.6,111.3,137.2,127.7,48.9,43.2,27.0,18.7,18.2,53.3,,,,,,,,,,,,,Feb
River Rel. - cfs,,600,1498,783,450,857,870,373,300,300,300,300,300,,,,,,,,,,,,,Mar
River Rel. - TAF,,35.7,92.1,46.6,27.7,52.7,51.8,22.9,17.8,18.4,18.4,16.7,18.4,,,,,,,,,,,,,Apr
Carr PP,,35.0,23.9,71.0,83.7,84.5,75.9,25.9,25.3,8.6,0.2,1.5,34.9,,,,,,,,,,,,,May
Actual Storage,1844,1878.2,1860.5,1773.2,1659.1,1514.2,1380.7,1342.6,1329.9,1359.9,1424.5,1534.9,1629.3,,,,,,,,,,,,,Jun
Elevation (feet),,2332,2331,2325,2316,2304,2293,2290,2288,2291,2297,2306,2314,,,,,,,,,,,,,July
Area (acres),,13142,13281,13212,12801,12197,11415,10720,10534,10411,10596,10970,11543,,,,,,,,,,,,,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
Whiskeytown,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,25,16,8,3,2,2,3,7,16,35,45,38,,,,,,,,,,,,,
Est. Evap.,,1.1,1.6,1.9,2.5,2.3,1.9,1.0,0.4,0.3,0.5,0.4,0.6,,,,,,,,,,,,,
Total Release,,28.0,38.3,77.1,84.2,84.2,83.9,52.3,31.9,24.3,34.8,46.1,72.3,,,,,,,,,,,,,
