View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,Beginning Page
 Trinity/Clair Engle,,,,,,,,,,,,,,,,,,,,,,,,,,Model Input
Inflow,,200,95,28,14,8,5,12,22,41,55,105,133,,,,,,,,,,,,,Summay
Est. Evap.,,5.1,6.9,7.8,9.8,8.8,6.9,3.3,1.6,1.0,1.8,1.5,2.3,,,,,,,,,,,,,Jan
Total Release,,74.6,159.0,131.6,107.3,123.2,113.7,38.9,39.2,30.0,21.2,18.2,33.3,,,,,,,,,,,,,Feb
River Rel. - cfs,,600,1498,783,450,857,870,373,300,300,300,300,300,,,,,,,,,,,,,Mar
River Rel. - TAF,,35.7,92.1,46.6,27.7,52.7,51.8,22.9,17.8,18.4,18.4,16.7,18.4,,,,,,,,,,,,,Apr
Carr PP,,38.9,66.9,85.0,79.7,70.5,61.9,15.9,21.3,11.6,2.8,1.5,14.9,,,,,,,,,,,,,May
Actual Storage,1844,1964.3,1893.4,1782.0,1678.9,1555.0,1439.3,1409.1,1390.3,1400.3,1432.3,1517.7,1615.1,,,,,,,,,,,,,Jun
Elevation (feet),,2338,2333,2325,2318,2308,2298,2295,2294,2295,2297,2305,2313,,,,,,,,,,,,,July
Area (acres),,13142,13699,13350,12801,12330,11673,11033,10844,10782,10844,10970,11478,,,,,,,,,,,,,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
Whiskeytown,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,16,8,4,2,1,1,3,6,13,20,30,28,,,,,,,,,,,,,
Est. Evap.,,1.1,1.6,1.9,2.5,2.3,1.9,1.0,0.4,0.3,0.5,0.4,0.6,,,,,,,,,,,,,
Total Release,,23.0,73.3,87.1,79.2,69.2,68.9,42.3,26.9,24.3,22.3,31.1,42.3,,,,,,,,,,,,,
Spring Cr.,,10,60,70,70,60,60,30,15,12,10,20,30,,,,,,,,,,,,,
Storage,207.1,238,238,238,238,238,230,206,206,206,206,206,206,,,,,,,,,,,,,
Elevation (feet),,1209,1209,1209,1209,1209,1207,1199,1199,1199,1199,1199,1199,,,,,,,,,,,,,
Area (acres),,2977,3223,3223,3223,3223,3223,3174,2977,2977,2977,2977,2977,,,,,,,,,,,,,
Clear Creek-cfs,,218,216,288,150,150,150,200,200,200,200,200,200,,,,,,,,,,,,,
Clear Creek-taf,,13.0,13.3,17.1,9.2,9.2,8.9,12.3,11.9,12.3,12.3,11.1,12.3,,,,,,,,,,,,,
CC AFRP,,200,200,200,200,200,150,150,150,150,200,200,200,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
