View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,Beginning Page
 Trinity/Clair Engle,,,,,,,,,,,,,,,,,,,,,,,,,,Model Input
Inflow,,89,108,58,17,9,3,3,9,14,22,33,55,,,,,,,,,,,,,Summay
Est. Evap.,,2.5,5.0,6.6,7.0,8.6,7.4,5.7,2.7,1.3,0.8,1.4,1.1,,,,,,,,,,,,,Jan
Total Release,,41.1,136.0,204.0,181.6,157.3,123.2,113.7,39.9,43.2,39.0,33.2,36.2,,,,,,,,,,,,,Feb
River Rel. - cfs,,300,600,1498,783,450,857,870,373,300,300,300,300,,,,,,,,,,,,,Mar
River Rel. - TAF,,18.4,35.7,92.1,46.6,27.7,52.7,51.8,22.9,17.8,18.4,18.4,16.7,,,,,,,,,,,,,Apr
Carr PP,,22.7,100.3,111.9,135.0,129.7,70.5,61.9,16.9,25.3,20.6,14.8,19.5,,,,,,,,,,,,,May
Actual Storage,1787,1832.3,1799.3,1646.7,1475.1,1318.2,1190.6,1074.2,1040.6,1010.1,992.3,990.7,1008.4,,,,,,,,,,,,,Jun
Elevation (feet),,2329,2327,2315,2301,2287,2275,2263,2260,2256,2254,2254,2256,,,,,,,,,,,,,July
Area (acres),,12801,13074,12937,12131,11223,10350,9629,8934,8764,8540,8429,8429,,,,,,,,,,,,,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
Whiskeytown,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,20,16,8,4,2,1,1,2,2,4,8,12,,,,,,,,,,,,,
Est. Evap.,,0.6,1.1,1.6,1.9,2.5,2.3,1.9,1.0,0.4,0.3,0.5,0.4,,,,,,,,,,,,,
Total Release,,42.3,83.0,118.3,137.1,129.2,69.2,68.9,42.3,26.9,24.3,22.3,31.1,,,,,,,,,,,,,
Spring Cr.,,30,70,105,120,120,60,60,30,15,12,10,20,,,,,,,,,,,,,
Storage,205.9,206,238,238,238,238,238,230,206,206,206,206,206,,,,,,,,,,,,,
Elevation (feet),,1199,1209,1209,1209,1209,1209,1207,1199,1199,1199,1199,1199,,,,,,,,,,,,,
Area (acres),,2977,2977,3223,3223,3223,3223,3223,3174,2977,2977,2977,2977,,,,,,,,,,,,,
Clear Creek-cfs,,200,218,216,288,150,150,150,200,200,200,200,200,,,,,,,,,,,,,
Clear Creek-taf,,12.3,13.0,13.3,17.1,9.2,9.2,8.9,12.3,11.9,12.3,12.3,11.1,,,,,,,,,,,,,
CC AFRP,,200,200,200,200,200,150,150,150,150,200,200,200,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,490,346,267,180,147,133,133,200,230,260,320,380,,,,,,,,,,,,,
Est. Evap.,,4.9,10.1,13.1,14.6,17.9,14.7,10.9,5.0,2.3,1.4,2.7,2.2,,,,,,,,,,,,,
